word,language,length,b_count,b_count_tier,distribution_pattern,residue_class,category,expected_answer,batch_id,chatgpt_answer,chatgpt_correct,gemini_answer,gemini_correct,chatgpt_runs,gemini_runs,length_range
acbcbbbbaabcccaacccccabbccbabaaccabbacbbccaccccabbacccabbccacacbaccbacaacbbbbcacabcbbc,mod_3,86,27,medium,random,0,positive,YES,mod3_batch001,NO,FALSE,NO,FALSE,1,1,61-100
cbabbbbbbbbbbbbbbbbbbbbbbbbbabbbbbbbbbbbbbbbbbbbbbcbbb,mod_3,54,50,high,random,2,negative,NO,mod3_batch002,YES,FALSE,YES,FALSE,1,1,31-60
bcccaacabaaaaababacaaccccbccccabbbcbccacbcbbccbccbaaac,mod_3,54,14,low,random,2,negative,NO,mod3_batch002,YES,FALSE,YES,FALSE,1,1,31-60
ccabcaaabbaaacabaccccccbccccacbaaaaccabcccccacc,mod_3,47,7,low,random,1,near_miss,NO,mod3_batch002,YES,FALSE,YES,FALSE,1,1,31-60
aaaccabbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbccccaa,mod_3,54,42,high,clustered,0,positive,YES,mod3_batch002,NO,FALSE,NO,FALSE,1,1,31-60
bcbcabaabaababacbccbaababaabcabacbacbabaabcabcabcbaabacbacbabaabccbcabccbabaabacbaabcbcabcabcabcc,mod_3,97,35,high,interleaved,2,negative,NO,mod3_batch003,YES,FALSE,YES,FALSE,1,1,61-100
bbbbbbbbbbbabbbbbbbbbbbabbbbbbbbbbc,mod_3,35,32,high,interleaved,2,negative,NO,mod3_batch004,YES,FALSE,YES,FALSE,1,1,31-60
cacaccaaaccbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbb,mod_3,49,38,high,clustered,2,negative,NO,mod3_batch004,YES,FALSE,YES,FALSE,1,1,31-60
bbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbc,mod_3,46,45,high,clustered,0,positive,YES,mod3_batch005,NO,FALSE,NO,FALSE,1,1,31-60
bbababcbababbcbcbcbcbabbabcbababcbbcbababcbcbbababcbcbcbbabcbabababbcbababcba,mod_3,77,42,high,interleaved,0,positive,YES,mod3_batch006,NO,FALSE,NO,FALSE,1,1,61-100
