word,language,length,b_count,b_count_tier,distribution_pattern,residue_class,category,expected_answer,batch_id,chatgpt_answer,chatgpt_correct,gemini_answer,gemini_correct,chatgpt_runs,gemini_runs
cacaaaaacaaaaaabbbbbbbcaac,mod_3,26,7,low,clustered,1,near_miss,NO,mod3_batch001,NO,TRUE,NO,TRUE,1,1
cacaccbbbbbbbbbbbbbbbba,mod_3,23,16,medium,clustered,1,near_miss,NO,mod3_batch001,NO,TRUE,YES,FALSE,1,1
bccccaacbaccaacabaacccacbaaaaaaabccaaacc,mod_3,40,5,very_low,interleaved,2,negative,NO,mod3_batch001,NO,TRUE,YES,FALSE,1,1
accbbbbbbbbbbbbbbb,mod_3,18,15,low,clustered,0,positive,YES,mod3_batch001,YES,TRUE,YES,TRUE,1,1
bbaacacccacaaacababcabcaccaaabcaccbbabaaaacbabcccacca,mod_3,53,11,low,random,2,negative,NO,mod3_batch001,YES,FALSE,NO,TRUE,1,1
bbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbabbbbbbbbbbbbbbbbbbbbbbbb,mod_3,57,56,very_high,random,2,negative,NO,mod3_batch001,NO,TRUE,YES,FALSE,1,1
ccacaccaaccaaccaccccaacacaccbbbbbbbbbbbbbbbbbbbb,mod_3,48,20,medium,clustered,2,negative,NO,mod3_batch001,NO,TRUE,NO,TRUE,1,1
bbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbb,mod_3,51,51,very_high,clustered,0,positive,YES,mod3_batch001,YES,TRUE,NO,FALSE,1,1
caccabbbbbbbbbbbbbbbbbcaa,mod_3,25,17,medium,clustered,2,negative,NO,mod3_batch001,NO,TRUE,NO,TRUE,1,1
caacacccccccaccaccaccccacccccaaaacaccaccac,mod_3,42,0,very_low,random,0,positive,YES,mod3_batch001,YES,TRUE,YES,TRUE,1,1
bbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbc,mod_3,34,33,high,interleaved,0,positive,YES,mod3_batch001,YES,TRUE,NO,FALSE,1,1
bbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbb,mod_3,33,33,high,random,0,positive,YES,mod3_batch001,YES,TRUE,YES,TRUE,1,1
bbbcbbabbbabbabba,mod_3,17,12,low,interleaved,0,positive,YES,mod3_batch001,YES,TRUE,NO,FALSE,1,1
acbcbbbbaabcccaacccccabbccbabaaccabbacbbccaccccabbacccabbccacacbaccbacaacbbbbcacabcbbc,mod_3,86,27,medium,random,0,positive,YES,mod3_batch001,NO,FALSE,NO,FALSE,1,1
bbbbbbbbbbbbbbbbcbbbbc,mod_3,22,20,medium,random,2,negative,NO,mod3_batch001,NO,TRUE,NO,TRUE,1,1
ababcbaaccacbbcbcabbcaaabbacaaabbbcbccbccbbababcabbcbbabaa,mod_3,58,24,medium,random,0,positive,YES,mod3_batch001,YES,TRUE,YES,TRUE,1,1
ccccccaccaccccaccbbacccccacacaccaccaccc,mod_3,39,2,very_low,clustered,2,negative,NO,mod3_batch001,NO,TRUE,NO,TRUE,1,1
cabbbbbbbbbaaccaaaaacaca,mod_3,24,9,low,clustered,0,positive,YES,mod3_batch001,NO,FALSE,YES,TRUE,1,1
aacbca,mod_3,6,1,very_low,clustered,1,near_miss,NO,mod3_batch001,NO,TRUE,NO,TRUE,1,1
bbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbac,mod_3,33,31,high,clustered,1,near_miss,NO,mod3_batch001,NO,TRUE,NO,TRUE,1,1
abccaaacabaccaacaaaaaaccbccacacaacacbcabacaac,mod_3,45,5,very_low,random,2,negative,NO,mod3_batch002,NO,TRUE,YES,FALSE,1,1
ccaaccaccaccccccacccabbcacaccccaacbcaaaaaaaaacccaaaac,mod_3,53,3,very_low,random,0,positive,YES,mod3_batch002,NO,FALSE,YES,TRUE,1,1
bcbabacbaccbcccacaaaaaaacccbcc,mod_3,30,6,low,random,0,positive,YES,mod3_batch002,YES,TRUE,NO,FALSE,1,1
cccacccaaaaaabacccacacaacccbccccacacacccacc,mod_3,43,2,very_low,random,2,negative,NO,mod3_batch002,NO,TRUE,NO,TRUE,1,1
bbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbaacc,mod_3,46,42,high,clustered,0,positive,YES,mod3_batch002,YES,TRUE,NO,FALSE,1,1
cbabbbbbbbbbbbbbbbbbbbbbbbbbabbbbbbbbbbbbbbbbbbbbbcbbb,mod_3,54,50,high,random,2,negative,NO,mod3_batch002,YES,FALSE,YES,FALSE,1,1
caccaccaaaacaacaccccaacaaaaacaabbbbbbbbbbc,mod_3,42,10,low,clustered,1,near_miss,NO,mod3_batch002,NO,TRUE,NO,TRUE,1,1
aacccacabbbacaaaaacaacacaca,mod_3,27,3,very_low,clustered,0,positive,YES,mod3_batch002,YES,TRUE,YES,TRUE,1,1
abbbbbaaaccaaacaaccaccccacacaacaaaaaaaaccaccaaa,mod_3,47,5,very_low,clustered,2,negative,NO,mod3_batch002,NO,TRUE,NO,TRUE,1,1
cacbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbcccaaaaaa,mod_3,56,44,high,clustered,2,negative,NO,mod3_batch002,NO,TRUE,YES,FALSE,1,1
cbbcbcbcb,mod_3,9,5,very_low,random,2,negative,NO,mod3_batch002,NO,TRUE,YES,FALSE,1,1
bcccaacabaaaaababacaaccccbccccabbbcbccacbcbbccbccbaaac,mod_3,54,14,low,random,2,negative,NO,mod3_batch002,YES,FALSE,YES,FALSE,1,1
accbb,mod_3,5,2,very_low,random,2,negative,NO,mod3_batch002,NO,TRUE,NO,TRUE,1,1
bbbbbbbbbbcbabbbabbabbbcbbbbbbbbbaabbabbbcaaaccbbbabbbbbbbabbab,mod_3,63,46,high,random,1,near_miss,NO,mod3_batch002,NO,TRUE,YES,FALSE,1,1
ccabcaaabbaaacabaccccccbccccacbaaaaccabcccccacc,mod_3,47,7,low,random,1,near_miss,NO,mod3_batch002,YES,FALSE,YES,FALSE,1,1
aaaccabbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbccccaa,mod_3,54,42,high,clustered,0,positive,YES,mod3_batch002,NO,FALSE,NO,FALSE,1,1
cccb,mod_3,4,1,very_low,random,1,near_miss,NO,mod3_batch002,NO,TRUE,NO,TRUE,1,1
acaaacaaaacaaaacacacaacacaccaccccabbbbbbbbbbbbbbbbbbbbbbbbbacccaac,mod_3,66,25,medium,clustered,1,near_miss,NO,mod3_batch002,NO,TRUE,YES,FALSE,1,1
caaacbbbbbbbbbbbcaa,mod_3,19,11,low,clustered,2,negative,NO,mod3_batch002,NO,TRUE,NO,TRUE,1,1
cacaabbbc,mod_3,9,3,very_low,random,0,positive,YES,mod3_batch002,YES,TRUE,YES,TRUE,1,1
bbbbbbbbbbbbbbcbbbbbbbbbbbbbbabbbbbbbbbbbbbbc,mod_3,45,42,high,interleaved,0,positive,YES,mod3_batch003,YES,TRUE,NO,FALSE,1,1
bacaababaababaaabbabb,mod_3,21,9,low,random,0,positive,YES,mod3_batch003,YES,TRUE,YES,TRUE,1,1
baaabcccbcccbccccbccabccabccacbcccbaccbaaccbaccbcccbaaca,mod_3,56,13,low,interleaved,1,near_miss,NO,mod3_batch003,NO,TRUE,NO,TRUE,1,1
bcccaaccbcccaaaabacccacccbccaacaabccacccaa,mod_3,42,5,very_low,interleaved,2,negative,NO,mod3_batch003,NO,TRUE,YES,FALSE,1,1
cccacaacaccaccacacacccaaccccacacccaccaaaaccacacccccccccacacacaacbbcaaaacca,mod_3,74,2,very_low,clustered,2,negative,NO,mod3_batch003,NO,TRUE,NO,TRUE,1,1
cbbbbbacccccacccaacacaccacccaccacaaaccaaaccacacaaa,mod_3,50,5,very_low,clustered,2,negative,NO,mod3_batch003,NO,TRUE,YES,FALSE,1,1
cacaabacaaaaac,mod_3,14,1,very_low,random,1,near_miss,NO,mod3_batch003,NO,TRUE,NO,TRUE,1,1
babacbacbcbccbccbcc,mod_3,19,7,low,interleaved,1,near_miss,NO,mod3_batch003,NO,TRUE,YES,FALSE,1,1
aacabbbbbbbbaaaaacacaaaccaccccaccca,mod_3,35,8,low,clustered,2,negative,NO,mod3_batch003,NO,TRUE,YES,FALSE,1,1
bbbabbabbabbabbabbcbbcbbabbcbbabbabbabbabbcbbcbbabba,mod_3,52,35,high,interleaved,2,negative,NO,mod3_batch003,NO,TRUE,NO,TRUE,1,1
bcbbcbbbcbabbbc,mod_3,15,10,low,random,1,near_miss,NO,mod3_batch003,NO,TRUE,NO,TRUE,1,1
bcaaccccbacccaacbaccaacabccaaaccbccaaccac,mod_3,41,5,very_low,interleaved,2,negative,NO,mod3_batch003,NO,TRUE,YES,FALSE,1,1
bbcbbcbbcbbcbbabbabba,mod_3,21,14,low,interleaved,2,negative,NO,mod3_batch003,NO,TRUE,NO,TRUE,1,1
bbbbbacabbaabccbbbbbbbbbbbbbbbbbbb,mod_3,34,27,medium,random,0,positive,YES,mod3_batch003,YES,TRUE,YES,TRUE,1,1
caaaaaaacacbbbbbbbbbbbccaaaaacac,mod_3,32,11,low,clustered,2,negative,NO,mod3_batch003,NO,TRUE,NO,TRUE,1,1
bbcbbaba,mod_3,8,5,very_low,interleaved,2,negative,NO,mod3_batch003,NO,TRUE,YES,FALSE,1,1
bcbcabaabaababacbccbaababaabcabacbacbabaabcabcabcbaabacbacbabaabccbcabccbabaabacbaabcbcabcabcabcc,mod_3,97,35,high,interleaved,2,negative,NO,mod3_batch003,YES,FALSE,YES,FALSE,1,1
bbbcbbbabbcbbbcbbabbbcbbcbbbcbbabbbabbabbbabbcbbbabbc,mod_3,53,38,high,interleaved,2,negative,NO,mod3_batch003,NO,TRUE,YES,FALSE,1,1
bbbbbbbbbabbbbbbbbbc,mod_3,20,18,medium,interleaved,0,positive,YES,mod3_batch003,YES,TRUE,NO,FALSE,1,1
aabbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbb,mod_3,35,33,high,clustered,0,positive,YES,mod3_batch003,YES,TRUE,YES,TRUE,1,1
