language,length_range,chatgpt_total,chatgpt_correct,chatgpt_excluded,chatgpt_accuracy_pct,gemini_total,gemini_correct,gemini_excluded,gemini_accuracy_pct
mod_3,1-15,150,149,0,99.33,150,124,0,82.67
mod_3,16-30,350,291,0,83.14,350,253,0,72.29
mod_3,31-60,350,262,0,74.86,350,212,0,60.57
mod_3,61-100,150,96,0,64.0,150,82,0,54.67
mod_4,1-15,150,146,0,97.33,150,134,0,89.33
mod_4,16-30,350,295,0,84.29,350,255,0,72.86
mod_4,31-60,350,258,0,73.71,350,228,0,65.14
mod_4,61-100,150,107,0,71.33,150,93,0,62.0
mod_5,1-15,150,149,0,99.33,150,136,0,90.67
mod_5,16-30,351,312,0,88.89,351,261,0,74.36
mod_5,31-60,351,266,0,75.78,351,229,0,65.24
mod_5,61-100,148,103,0,69.59,148,81,0,54.73
