word,language,length,b_count,b_count_tier,distribution_pattern,residue_class,category,expected_answer,batch_id,chatgpt_answer,chatgpt_correct,gemini_answer,gemini_correct,chatgpt_runs,gemini_runs,length_range,wrong_model
cacaccbbbbbbbbbbbbbbbba,mod_3,23,16,medium,clustered,1,near_miss,NO,mod3_batch001,NO,TRUE,YES,FALSE,1,1,16-30,gemini
bccccaacbaccaacabaacccacbaaaaaaabccaaacc,mod_3,40,5,very_low,interleaved,2,negative,NO,mod3_batch001,NO,TRUE,YES,FALSE,1,1,31-60,gemini
bbaacacccacaaacababcabcaccaaabcaccbbabaaaacbabcccacca,mod_3,53,11,low,random,2,negative,NO,mod3_batch001,YES,FALSE,NO,TRUE,1,1,31-60,chatgpt
bbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbabbbbbbbbbbbbbbbbbbbbbbbb,mod_3,57,56,very_high,random,2,negative,NO,mod3_batch001,NO,TRUE,YES,FALSE,1,1,31-60,gemini
bbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbb,mod_3,51,51,very_high,clustered,0,positive,YES,mod3_batch001,YES,TRUE,NO,FALSE,1,1,31-60,gemini
bbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbc,mod_3,34,33,high,interleaved,0,positive,YES,mod3_batch001,YES,TRUE,NO,FALSE,1,1,31-60,gemini
bbbcbbabbbabbabba,mod_3,17,12,low,interleaved,0,positive,YES,mod3_batch001,YES,TRUE,NO,FALSE,1,1,16-30,gemini
cabbbbbbbbbaaccaaaaacaca,mod_3,24,9,low,clustered,0,positive,YES,mod3_batch001,NO,FALSE,YES,TRUE,1,1,16-30,chatgpt
abccaaacabaccaacaaaaaaccbccacacaacacbcabacaac,mod_3,45,5,very_low,random,2,negative,NO,mod3_batch002,NO,TRUE,YES,FALSE,1,1,31-60,gemini
ccaaccaccaccccccacccabbcacaccccaacbcaaaaaaaaacccaaaac,mod_3,53,3,very_low,random,0,positive,YES,mod3_batch002,NO,FALSE,YES,TRUE,1,1,31-60,chatgpt
bcbabacbaccbcccacaaaaaaacccbcc,mod_3,30,6,low,random,0,positive,YES,mod3_batch002,YES,TRUE,NO,FALSE,1,1,16-30,gemini
bbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbaacc,mod_3,46,42,high,clustered,0,positive,YES,mod3_batch002,YES,TRUE,NO,FALSE,1,1,31-60,gemini
cacbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbcccaaaaaa,mod_3,56,44,high,clustered,2,negative,NO,mod3_batch002,NO,TRUE,YES,FALSE,1,1,31-60,gemini
cbbcbcbcb,mod_3,9,5,very_low,random,2,negative,NO,mod3_batch002,NO,TRUE,YES,FALSE,1,1,1-15,gemini
bbbbbbbbbbcbabbbabbabbbcbbbbbbbbbaabbabbbcaaaccbbbabbbbbbbabbab,mod_3,63,46,high,random,1,near_miss,NO,mod3_batch002,NO,TRUE,YES,FALSE,1,1,61-100,gemini
acaaacaaaacaaaacacacaacacaccaccccabbbbbbbbbbbbbbbbbbbbbbbbbacccaac,mod_3,66,25,medium,clustered,1,near_miss,NO,mod3_batch002,NO,TRUE,YES,FALSE,1,1,61-100,gemini
bbbbbbbbbbbbbbcbbbbbbbbbbbbbbabbbbbbbbbbbbbbc,mod_3,45,42,high,interleaved,0,positive,YES,mod3_batch003,YES,TRUE,NO,FALSE,1,1,31-60,gemini
bcccaaccbcccaaaabacccacccbccaacaabccacccaa,mod_3,42,5,very_low,interleaved,2,negative,NO,mod3_batch003,NO,TRUE,YES,FALSE,1,1,31-60,gemini
cbbbbbacccccacccaacacaccacccaccacaaaccaaaccacacaaa,mod_3,50,5,very_low,clustered,2,negative,NO,mod3_batch003,NO,TRUE,YES,FALSE,1,1,31-60,gemini
babacbacbcbccbccbcc,mod_3,19,7,low,interleaved,1,near_miss,NO,mod3_batch003,NO,TRUE,YES,FALSE,1,1,16-30,gemini
aacabbbbbbbbaaaaacacaaaccaccccaccca,mod_3,35,8,low,clustered,2,negative,NO,mod3_batch003,NO,TRUE,YES,FALSE,1,1,31-60,gemini
bcaaccccbacccaacbaccaacabccaaaccbccaaccac,mod_3,41,5,very_low,interleaved,2,negative,NO,mod3_batch003,NO,TRUE,YES,FALSE,1,1,31-60,gemini
bbcbbaba,mod_3,8,5,very_low,interleaved,2,negative,NO,mod3_batch003,NO,TRUE,YES,FALSE,1,1,1-15,gemini
bbbcbbbabbcbbbcbbabbbcbbcbbbcbbabbbabbabbbabbcbbbabbc,mod_3,53,38,high,interleaved,2,negative,NO,mod3_batch003,NO,TRUE,YES,FALSE,1,1,31-60,gemini
bbbbbbbbbabbbbbbbbbc,mod_3,20,18,medium,interleaved,0,positive,YES,mod3_batch003,YES,TRUE,NO,FALSE,1,1,16-30,gemini
bbbbbbbbbbbbb,mod_3,13,13,low,clustered,1,near_miss,NO,mod3_batch004,NO,TRUE,YES,FALSE,1,1,1-15,gemini
bbbbbcbbbabbbbbbbbcbbbbbbbbbb,mod_3,29,26,medium,random,2,negative,NO,mod3_batch004,NO,TRUE,YES,FALSE,1,1,16-30,gemini
ababbbccaaabbbaabbbabababbabbbacacbbbbbbccbaaabbbccb,mod_3,52,28,medium,random,1,near_miss,NO,mod3_batch004,NO,TRUE,YES,FALSE,1,1,31-60,gemini
acaacaabcaaaaacaaaabccaccaacaacaacaaaccacaaccccaacacaa,mod_3,54,2,very_low,random,2,negative,NO,mod3_batch004,NO,TRUE,YES,FALSE,1,1,31-60,gemini
bcccbcccbacabcaabcccbcaacbaccbcacbcacbccabccca,mod_3,46,11,low,interleaved,2,negative,NO,mod3_batch004,NO,TRUE,YES,FALSE,1,1,31-60,gemini
bbcbbabcbbbbbcacbbbcbbbbbbcccbbcbabbcabbcccabaaababb,mod_3,52,30,medium,random,0,positive,YES,mod3_batch004,YES,TRUE,NO,FALSE,1,1,31-60,gemini
bbababbbcbbbcbbbbabbbbbabbbbcbbcabbbcbbbabcaba,mod_3,46,32,high,random,2,negative,NO,mod3_batch004,YES,FALSE,NO,TRUE,1,1,31-60,chatgpt
bbbbbbbccbccbbbbbbc,mod_3,19,14,low,random,2,negative,NO,mod3_batch004,YES,FALSE,NO,TRUE,1,1,16-30,chatgpt
aaccaacaacaccacaaaaacaacacccacaaccaacaaaacacaaaabccaccccaaccaccaaacb,mod_3,68,2,very_low,random,2,negative,NO,mod3_batch005,NO,TRUE,YES,FALSE,1,1,61-100,gemini
